index;name;serving_size;calories;total_fat;protein;carbohydrate;sugars;food_item;food_detail;detail1;food_key
1532;KEEBLER, Onion Crackers, TOASTEDS;100;479;21;5.70;67.70;9.70;KEEBLER; TOASTEDS; Onion Crackers;KEEBLER Onion Crackers
1533;Walrus, raw (Alaska Native), meat;100;199;14;19.20;0.00;0;Walrus; meat; raw (Alaska Native);Walrus raw (Alaska Native)
1534;Cake, dry mix, unenriched, yellow;100;432;12;4.40;78.10;0;Cake; unenriched, yellow; dry mix;Cake dry mix
1535;Parmesan cheese topping, fat free;100;370;5;40.00;40.00;1.50;Parmesan cheese topping;; fat free;Parmesan cheese topping fat free
1536;Fish, dry heat, cooked, sablefish;100;250;20;17.19;0.00;0;Fish; cooked, sablefish; dry heat;Fish dry heat
1537;Grapefruit, all areas, white, raw;100;33;0.1;0.69;8.41;7.31;Grapefruit; white, raw; all areas;Grapefruit all areas
1538;Peas, raw, sprouted, mature seeds;100;124;0.7;8.80;27.11;0;Peas; sprouted, mature seeds; raw;Peas raw
1539;Babyfood, apple and cherry, juice;100;41;0.2;0.10;9.90;8.98;Babyfood; juice; apple and cherry;Babyfood apple and cherry
1540;Nuts, roasted, chinese, chestnuts;100;239;1.2;4.48;52.36;0;Nuts; chinese, chestnuts; roasted;Nuts roasted
1541;Candies, BUTTERFINGER Bar, NESTLE;100;459;19;5.40;72.90;45.90;Candies; NESTLE; BUTTERFINGER Bar;Candies BUTTERFINGER Bar
1542;MORI-NU, extra firm, silken, Tofu;100;55;1.9;7.40;2.00;0.99;MORI-NU; silken, Tofu; extra firm;MORI-NU extra firm
1543;Fish, raw, wild, channel, catfish;100;95;2.8;16.38;0.00;0;Fish; wild, channel, catfish; raw;Fish raw
1544;Candies, vanilla with nuts, fudge;100;435;14;3.00;74.61;71.00;Candies; fudge; vanilla with nuts;Candies vanilla with nuts
1545;Fish, raw, mixed species, grouper;100;92;1;19.38;0.00;0;Fish; mixed species, grouper; raw;Fish raw
1546;Asparagus, drained solids, canned;100;19;0.7;2.14;2.46;1.06;Asparagus; canned; drained solids;Asparagus drained solids
1547;Turkey, raw, all classes, gizzard;100;111;3.4;18.80;0.00;0.00;Turkey; all classes, gizzard; raw;Turkey raw
1548;DENNY'S, mozzarella cheese sticks;100;324;18;13.56;27.22;2.83;DENNY'S;; mozzarella cheese sticks;DENNY'S mozzarella cheese sticks
1549;Rice, cooked, medium-grain, brown;100;112;0.8;2.32;23.51;0;Rice; medium-grain, brown; cooked;Rice cooked
1550;McDONALD'S, Peanuts (for Sundaes);100;640;53;28.04;16.23;4.15;McDONALD'S;; Peanuts (for Sundaes);McDONALD'S Peanuts (for Sundaes)
1551;Chicken, raw, meat only, roasting;100;111;2.7;20.33;0.00;0.00;Chicken; meat only, roasting; raw;Chicken raw
1552;T.G.I. FRIDAY'S, fried mozzarella;100;333;19;15.82;25.33;1.45;T.G.I. FRIDAY'S;; fried mozzarella;T.G.I. FRIDAY'S fried mozzarella
1553;Pie fillings, low calorie, cherry;100;53;0.2;0.82;11.98;9.15;Pie fillings; cherry; low calorie;Pie fillings low calorie
1554;Frybread, made with lard (Navajo);100;330;12;6.69;48.26;2.03;Frybread;; made with lard (Navajo);Frybread made with lard (Navajo)
1555;Stew, hominy with mutton (Navajo);100;83;2.1;6.71;9.38;0.11;Stew;; hominy with mutton (Navajo);Stew hominy with mutton (Navajo)
1556;PEPPERIDGE FARM, Deli Swirl Bread;100;247;3.1;0.01;44.70;2.80;PEPPERIDGE FARM;; Deli Swirl Bread;PEPPERIDGE FARM Deli Swirl Bread
1557;Crackers, low sodium, toast thins;100;442;16;6.45;67.66;12.90;Crackers; toast thins; low sodium;Crackers low sodium
1558;SMART SOUP, Santa Fe Corn Chowder;100;55;0.7;2.00;11.20;3.60;SMART SOUP;; Santa Fe Corn Chowder;SMART SOUP Santa Fe Corn Chowder
1559;Beverages, ginger ale, carbonated;100;34;0;0.00;8.76;8.90;Beverages; carbonated; ginger ale;Beverages ginger ale
1560;Danish pastry, enriched, cinnamon;100;403;22;7.00;44.60;19.78;Danish pastry; cinnamon; enriched;Danish pastry enriched
1561;Fish, raw, wild, Atlantic, salmon;100;142;6.3;19.84;0.00;0;Fish; wild, Atlantic, salmon; raw;Fish raw
1562;Bear, meat (Alaska Native), black;100;155;8.3;20.10;0.00;0;Bear; black; meat (Alaska Native);Bear meat (Alaska Native)
1563;Babyfood, toddler, dices, peaches;100;51;0.2;0.50;11.80;9.49;Babyfood; dices, peaches; toddler;Babyfood toddler
1564;Potato puffs, oven-heated, frozen;100;192;9.1;2.13;27.29;0.27;Potato puffs; frozen; oven-heated;Potato puffs oven-heated
1565;NABISCO, NABISCO GRAHAMS Crackers;100;424;10;6.99;76.20;23.00;NABISCO;; NABISCO GRAHAMS Crackers;NABISCO NABISCO GRAHAMS Crackers
1566;CARRABBA'S ITALIAN GRILL, lasagne;100;191;11;10.48;12.36;2.77;CARRABBA'S ITALIAN GRILL;; lasagne;CARRABBA'S ITALIAN GRILL lasagne
1567;Pie, commercially prepared, pecan;100;407;17;4.50;59.61;25.18;Pie; pecan; commercially prepared;Pie commercially prepared
1568;Puddings, ready-to-eat, chocolate;100;142;4.6;2.09;23.01;17.17;Puddings; chocolate; ready-to-eat;Puddings ready-to-eat
1569;Beef, chopped beef, smoked, cured;100;133;4.4;20.19;1.86;0;Beef; smoked, cured; chopped beef;Beef chopped beef
1570;Caribou, raw (Alaska Native), eye;100;326;31;10.80;0.00;0;Caribou; eye; raw (Alaska Native);Caribou raw (Alaska Native)
1571;Pie, prepared from recipe, cherry;100;270;12;2.80;38.50;0;Pie; cherry; prepared from recipe;Pie prepared from recipe
1572;Beverages, RED BULL, Energy drink;100;43;0;0.46;10.23;10.22;Beverages; Energy drink; RED BULL;Beverages RED BULL
1573;Yogurt, nonfat, strawberry, Greek;100;82;0.2;8.05;12.07;11.27;Yogurt; strawberry, Greek; nonfat;Yogurt nonfat
1574;Yogurt, lowfat, strawberry, Greek;100;103;2.6;8.17;11.89;11.23;Yogurt; strawberry, Greek; lowfat;Yogurt lowfat
1575;USDA Commodity, Flour Mix, Bakery;100;400;13;8.47;62.53;0;USDA Commodity; Bakery; Flour Mix;USDA Commodity Flour Mix
1576;KEEBLER, Frosted Cookies, ANIMALS;100;506;24;3.00;70.00;41.10;KEEBLER; ANIMALS; Frosted Cookies;KEEBLER Frosted Cookies
1577;Cheese, cheddar or colby, low fat;100;173;7;24.35;1.91;0.52;Cheese; low fat; cheddar or colby;Cheese cheddar or colby
1578;Crustaceans, raw, dungeness, crab;100;86;1;17.41;0.74;0;Crustaceans; dungeness, crab; raw;Crustaceans raw
1579;Fish, raw, yellowfin, fresh, tuna;100;109;0.5;24.40;0.00;0.00;Fish; yellowfin, fresh, tuna; raw;Fish raw
1580;Bread, somiviki (Hopi), blue corn;100;186;1.5;3.10;39.84;12.94;Bread; blue corn; somiviki (Hopi);Bread somiviki (Hopi)
1581;Beans, canned, mature seeds, navy;100;113;0.4;7.53;20.45;0.28;Beans; mature seeds, navy; canned;Beans canned
1582;Fish, raw, mixed species, snapper;100;100;1.3;20.51;0.00;0.00;Fish; mixed species, snapper; raw;Fish raw
1583;Cookies, lemon wafer, gluten-free;100;515;24;0.00;74.39;42.31;Cookies; gluten-free; lemon wafer;Cookies lemon wafer
1584;Potatoes, with salt, flesh, baked;100;93;0.1;1.96;21.55;1.70;Potatoes; flesh, baked; with salt;Potatoes with salt
1585;Game meat, roasted, cooked, horse;100;175;6.1;28.14;0.00;0;Game meat; cooked, horse; roasted;Game meat roasted
1586;Alcoholic beverage, cooking, wine;100;50;0;0.50;6.30;1.55;Alcoholic beverage; wine; cooking;Alcoholic beverage cooking
1587;Seeds, dried, whole, sesame seeds;100;573;50;17.73;23.45;0.30;Seeds; whole, sesame seeds; dried;Seeds dried
1588;Cheese, nonfat or fat free, Swiss;100;127;0;28.40;3.40;1.33;Cheese; Swiss; nonfat or fat free;Cheese nonfat or fat free
1589;Seeds, dried, breadnut tree seeds;100;367;1.7;8.62;79.39;0;Seeds; breadnut tree seeds; dried;Seeds dried
1590;Turnip greens, unprepared, frozen;100;22;0.3;2.47;3.67;0;Turnip greens; frozen; unprepared;Turnip greens unprepared
1591;Snacks, barbecue-flavor, cornnuts;100;436;14;9.00;71.70;0;Snacks; cornnuts; barbecue-flavor;Snacks barbecue-flavor
1592;Beverages, unsweetened, rice milk;100;47;1;0.28;9.17;5.28;Beverages; rice milk; unsweetened;Beverages unsweetened
1593;Chicken, fried, breaded, meatless;100;234;13;21.28;8.51;0.00;Chicken; breaded, meatless; fried;Chicken fried
1594;Mollusks, baked or broiled, conch;100;130;1.2;26.30;1.70;0.00;Mollusks; conch; baked or broiled;Mollusks baked or broiled
1595;Taro, with salt, cooked, tahitian;100;44;0.7;4.16;6.85;0;Taro; cooked, tahitian; with salt;Taro with salt
1596;Frostings, dry mix, fluffy, white;100;371;0;2.30;94.90;0;Frostings; fluffy, white; dry mix;Frostings dry mix
1597;Apples, uncooked, sulfured, dried;100;243;0.3;0.93;65.89;57.19;Apples; sulfured, dried; uncooked;Apples uncooked
1598;Mouse nuts, roots (Alaska Native);100;81;0.1;3.90;16.10;0;Mouse nuts;; roots (Alaska Native);Mouse nuts roots (Alaska Native)
1599;Salad dressing, light, mayonnaise;100;238;22;0.37;9.23;3.56;Salad dressing; mayonnaise; light;Salad dressing light
1600;Corn flour, white, enriched, masa;100;363;3.7;8.46;76.59;1.61;Corn flour; enriched, masa; white;Corn flour white
1601;Buckwheat groats, cooked, roasted;100;92;0.6;3.38;19.94;0.90;Buckwheat groats; roasted; cooked;Buckwheat groats cooked
1602;Sweet potato, vacuum pack, canned;100;91;0.2;1.65;21.12;5.00;Sweet potato; canned; vacuum pack;Sweet potato vacuum pack
1603;Orange juice, unsweetened, canned;100;47;0.2;0.68;11.01;8.76;Orange juice; canned; unsweetened;Orange juice unsweetened
1604;Refried beans, vegetarian, canned;100;83;0.9;5.28;13.50;0.59;Refried beans; canned; vegetarian;Refried beans vegetarian
1605;Game meat, roasted, cooked, moose;100;134;1;29.27;0.00;0.00;Game meat; cooked, moose; roasted;Game meat roasted
1606;Babyfood, strained, chicken, meat;100;130;7.9;13.70;0.10;0.00;Babyfood; chicken, meat; strained;Babyfood strained
1607;Peppers, freeze-dried, red, sweet;100;314;3;17.90;68.70;40.77;Peppers; red, sweet; freeze-dried;Peppers freeze-dried
1608;Strawberries, unsweetened, frozen;100;35;0.1;0.43;9.13;4.56;Strawberries; frozen; unsweetened;Strawberries unsweetened
1609;Kielbasa, pan-fried, fully cooked;100;333;29;12.36;4.78;2.38;Kielbasa; fully cooked; pan-fried;Kielbasa pan-fried
1610;Turkey, raw, meat and skin, whole;100;143;5.6;21.64;0.13;0.07;Turkey; meat and skin, whole; raw;Turkey raw
1611;Canadian bacon, pan-fried, cooked;100;146;2.8;28.31;1.80;1.20;Canadian bacon; cooked; pan-fried;Canadian bacon pan-fried
1612;Yardlong beans, raw, mature seeds;100;347;1.3;24.33;61.91;0;Yardlong beans; mature seeds; raw;Yardlong beans raw
1613;Tofu, salted and fermented (fuyu);100;116;8;8.92;4.38;0;Tofu;; salted and fermented (fuyu);Tofu salted and fermented (fuyu)
1614;Mush, blue corn with ash (Navajo);100;54;0.5;0.66;11.74;0.19;Mush;; blue corn with ash (Navajo);Mush blue corn with ash (Navajo)
1615;Pate, canned, smoked, goose liver;100;462;44;11.40;4.67;0;Pate; smoked, goose liver; canned;Pate canned
1616;Beverages, powder, rich chocolate;100;372;0;0.00;92.96;81.82;Beverages; rich chocolate; powder;Beverages powder
1617;BURGER KING, with cheese, WHOPPER;100;250;15;11.19;16.70;4.11;BURGER KING; WHOPPER; with cheese;BURGER KING with cheese
1618;Gelatins, unsweetened, dry powder;100;335;0.1;85.60;0.00;0.00;Gelatins; dry powder; unsweetened;Gelatins unsweetened
1619;Oil, salad or cooking, cottonseed;100;884;100;0.00;0.00;0.00;Oil; cottonseed; salad or cooking;Oil salad or cooking
1620;Winged beans, raw, immature seeds;100;49;0.9;6.95;4.31;0;Winged beans; immature seeds; raw;Winged beans raw
1621;Toppings, butterscotch or caramel;100;216;0;1.21;57.01;57.00;Toppings;; butterscotch or caramel;Toppings butterscotch or caramel
1622;Fish, kippered, Atlantic, herring;100;217;12;24.58;0.00;0.00;Fish; Atlantic, herring; kippered;Fish kippered
1623;Oil, spotted seal (Alaska Native);100;894;99;0.00;0.00;0.00;Oil;; spotted seal (Alaska Native);Oil spotted seal (Alaska Native)
1624;Cranberry juice cocktail, bottled;100;54;0.1;0.00;13.52;11.87;Cranberry juice cocktail;; bottled;Cranberry juice cocktail bottled
1625;Babyfood, orange and apple, juice;100;43;0.2;0.40;10.10;0;Babyfood; juice; orange and apple;Babyfood orange and apple
1626;Babyfood, prune and orange, juice;100;70;0.3;0.60;16.80;0;Babyfood; juice; prune and orange;Babyfood prune and orange
1627;Lasagna, prepared, frozen, cheese;100;130;5.3;6.54;13.84;4.23;Lasagna; frozen, cheese; prepared;Lasagna prepared
1628;KASHI, Sea Salt, Pita Crisps, TLC;100;381;9.2;10.50;72.40;5.40;KASHI; Pita Crisps, TLC; Sea Salt;KASHI Sea Salt
1629;Snacks, reduced fat, potato chips;100;471;21;7.10;66.90;0.22;Snacks; potato chips; reduced fat;Snacks reduced fat
1630;MURRAY, Vanilla Wafer, SUGAR FREE;100;412;17;5.90;74.00;1.40;MURRAY; SUGAR FREE; Vanilla Wafer;MURRAY Vanilla Wafer
1631;SPAGHETTIOS, SpaghettiOs Original;100;67;0.4;2.38;13.89;4.37;SPAGHETTIOS;; SpaghettiOs Original;SPAGHETTIOS SpaghettiOs Original
1632;Soup, ready to serve, beef barley;100;52;1;2.81;7.94;1.22;Soup; beef barley; ready to serve;Soup ready to serve
1633;Salad dressing, creamy, poppyseed;100;399;33;0.92;23.73;23.39;Salad dressing; poppyseed; creamy;Salad dressing creamy
1634;Dressing, fat-free, honey mustard;100;169;1.5;1.07;38.43;17.75;Dressing; honey mustard; fat-free;Dressing fat-free
1635;Mollusks, raw, unspecified, whelk;100;137;0.4;23.84;7.76;0.00;Mollusks; unspecified, whelk; raw;Mollusks raw
1636;Pie crust, dry mix, standard-type;100;518;31;6.90;52.10;0;Pie crust; standard-type; dry mix;Pie crust dry mix
1637;Beverages, grape soda, carbonated;100;43;0;0.00;11.20;0;Beverages; carbonated; grape soda;Beverages grape soda
1638;Mushrooms, drained solids, canned;100;25;0.3;1.87;5.09;2.34;Mushrooms; canned; drained solids;Mushrooms drained solids
1639;Game meat, simmered, cooked, bear;100;259;13;32.42;0.00;0.00;Game meat; cooked, bear; simmered;Game meat simmered
1640;Rolls, plain, hamburger or hotdog;100;279;3.9;9.77;50.12;7.28;Rolls; hamburger or hotdog; plain;Rolls plain
1641;KASHI, Honey Sesame Crackers, TLC;100;398;10;8.70;72.20;16.10;KASHI; TLC; Honey Sesame Crackers;KASHI Honey Sesame Crackers
1642;Fish, raw, mixed species, whiting;100;90;1.3;18.31;0.00;0.00;Fish; mixed species, whiting; raw;Fish raw
1643;Leavening agents, cream of tartar;100;258;0;0.00;61.50;0.00;Leavening agents;; cream of tartar;Leavening agents cream of tartar
1644;Beans, with franks, canned, baked;100;142;6.6;6.75;15.39;6.53;Beans; canned, baked; with franks;Beans with franks
1645;Fish, dry heat, cooked, swordfish;100;172;7.9;23.45;0.00;0.00;Fish; cooked, swordfish; dry heat;Fish dry heat
1646;Radishes, pickled, hawaiian style;100;28;0.3;1.10;5.20;2.00;Radishes; hawaiian style; pickled;Radishes pickled
1647;Gravy, fat free, beef, CAMPBELL'S;100;25;0;1.69;5.08;0;Gravy; beef, CAMPBELL'S; fat free;Gravy fat free
1648;Blackberries, unsweetened, frozen;100;64;0.4;1.18;15.67;10.67;Blackberries; frozen; unsweetened;Blackberries unsweetened
1649;Onions, unprepared, whole, frozen;100;35;0.1;0.89;8.45;3.81;Onions; whole, frozen; unprepared;Onions unprepared
1650;Puddings, regular, dry mix, lemon;100;363;0.5;0.10;91.80;0;Puddings; dry mix, lemon; regular;Puddings regular
1651;Lasagna, baked, frozen, Vegetable;100;139;6;6.87;14.18;2.54;Lasagna; frozen, Vegetable; baked;Lasagna baked
1652;Puddings, instant, dry mix, lemon;100;378;0.7;0.00;95.40;0;Puddings; dry mix, lemon; instant;Puddings instant
1653;Beverages, ROCKSTAR, Energy drink;100;58;0.2;0.34;12.70;12.26;Beverages; Energy drink; ROCKSTAR;Beverages ROCKSTAR
1654;SILK Banana-Strawberry soy yogurt;100;88;1.2;2.35;17.06;10.59;SILK Banana-Strawberry soy yogurt;;;SILK Banana-Strawberry soy yogurt
1655;MOTHER'S, Chocolate Chip Cookies;100;490;22;5.70;67.60;32.90;MOTHER'S;; Chocolate Chip Cookies;MOTHER'S Chocolate Chip Cookies
1656;Whipped topping, low fat, frozen;100;224;13;3.00;23.60;23.60;Whipped topping; frozen; low fat;Whipped topping low fat
1657;Vitasoy USA Azumaya, Silken Tofu;100;43;2.4;4.82;0.58;0.20;Vitasoy USA Azumaya;; Silken Tofu;Vitasoy USA Azumaya Silken Tofu
1658;Ice cream, chocolate, soft serve;100;222;13;4.10;22.20;21.16;Ice cream; soft serve; chocolate;Ice cream chocolate
1659;Moose, raw (Alaska Native), meat;100;103;1.5;22.30;0.00;0.00;Moose; meat; raw (Alaska Native);Moose raw (Alaska Native)
1660;Bread crumbs, plain, grated, dry;100;395;5.3;13.35;71.98;6.20;Bread crumbs; grated, dry; plain;Bread crumbs plain
1661;Oven-roasted chicken breast roll;100;134;7.7;14.59;1.79;0.43;Oven-roasted chicken breast roll;;;Oven-roasted chicken breast roll
1662;Salad dressing, russian dressing;100;355;26;0.69;31.90;17.68;Salad dressing;; russian dressing;Salad dressing russian dressing
1663;Oil, original, PAM cooking spray;100;792;79;0.26;20.69;0.00;Oil; PAM cooking spray; original;Oil original
1664;Restaurant, corn, tamale, Latino;100;186;7.2;3.48;26.68;7.42;Restaurant; tamale, Latino; corn;Restaurant corn
1665;Restaurant, pork, tamale, Latino;100;174;9;7.35;15.75;0.46;Restaurant; tamale, Latino; pork;Restaurant pork
1666;Fish, dry heat, cooked, mahimahi;100;109;0.9;23.72;0.00;0;Fish; cooked, mahimahi; dry heat;Fish dry heat
1667;Emu, broiled, cooked, fan fillet;100;154;2.3;31.27;0.00;0.00;Emu; cooked, fan fillet; broiled;Emu broiled
1668;Beans, raw, mature seeds, yellow;100;345;2.6;22.00;60.70;0;Beans; mature seeds, yellow; raw;Beans raw
1669;KEEBLER, Toasted Coconut Cookies;100;475;20;3.80;69.90;41.20;KEEBLER;; Toasted Coconut Cookies;KEEBLER Toasted Coconut Cookies
1670;Fish, dry heat, cooked, milkfish;100;190;8.6;26.32;0.00;0;Fish; cooked, milkfish; dry heat;Fish dry heat
1671;Fish, dry heat, cooked, monkfish;100;97;2;18.56;0.00;0;Fish; cooked, monkfish; dry heat;Fish dry heat
1672;Babyfood, apple and grape, juice;100;46;0.2;0.10;11.34;10.90;Babyfood; juice; apple and grape;Babyfood apple and grape
1673;Pheasant, raw, meat only, breast;100;133;3.3;24.37;0.00;0;Pheasant; meat only, breast; raw;Pheasant raw
1674;Burrito, frozen, bean and cheese;100;221;6.3;7.07;34.01;3.21;Burrito; bean and cheese; frozen;Burrito frozen
1675;Potatoes, home-prepared, o'brien;100;81;1.3;2.35;15.47;0;Potatoes; o'brien; home-prepared;Potatoes home-prepared
1676;MORI-NU, lite firm, silken, Tofu;100;37;0.8;6.30;1.10;0.45;MORI-NU; silken, Tofu; lite firm;MORI-NU lite firm
1677;Tofu, prepared with nigari, hard;100;145;10;12.68;4.39;0;Tofu; hard; prepared with nigari;Tofu prepared with nigari
1678;Meatballs, Italian style, frozen;100;286;22;14.40;8.06;3.47;Meatballs; frozen; Italian style;Meatballs Italian style
1679;Kielbasa, unheated, fully cooked;100;325;30;10.84;3.72;2.05;Kielbasa; fully cooked; unheated;Kielbasa unheated
1680;Alcoholic beverage, whiskey sour;100;149;0;0.00;13.17;0;Alcoholic beverage;; whiskey sour;Alcoholic beverage whiskey sour
1681;WEND'YS, Crispy Chicken Sandwich;100;278;14;11.72;26.36;3.13;WEND'YS;; Crispy Chicken Sandwich;WEND'YS Crispy Chicken Sandwich
1682;BURGER KING, Double Cheeseburger;100;282;16;16.83;17.43;4.17;BURGER KING;; Double Cheeseburger;BURGER KING Double Cheeseburger
1683;SUNSHINE, BIG Crackers, CHEEZ-IT;100;507;26;11.40;57.40;0.50;SUNSHINE; CHEEZ-IT; BIG Crackers;SUNSHINE BIG Crackers
1684;Babyfood, junior, cherry cobbler;100;78;0.1;0.30;19.20;10.39;Babyfood; cherry cobbler; junior;Babyfood junior
1685;Danish pastry, unenriched, lemon;100;371;19;5.40;47.80;0;Danish pastry; lemon; unenriched;Danish pastry unenriched
1686;APPLEBEE'S, Double Crunch Shrimp;100;323;19;12.31;25.96;1.07;APPLEBEE'S;; Double Crunch Shrimp;APPLEBEE'S Double Crunch Shrimp
1687;BURGER KING, french toast sticks;100;349;18;6.00;41.21;9.89;BURGER KING;; french toast sticks;BURGER KING french toast sticks
1688;Mutton, roasted (Navajo), cooked;100;234;11;33.43;0.08;0;Mutton; cooked; roasted (Navajo);Mutton roasted (Navajo)
1689;Fish, raw, Atlantic, ocean perch;100;79;1.5;15.31;0.00;0.00;Fish; Atlantic, ocean perch; raw;Fish raw
1690;Cereals, Dry, Quick Oats, QUAKER;100;371;6.9;13.70;68.18;1.42;Cereals; Quick Oats, QUAKER; Dry;Cereals Dry
1691;Cookies, reduced fat, shortbread;100;451;14;5.37;75.99;21.65;Cookies; shortbread; reduced fat;Cookies reduced fat
1692;Potatoes, drained solids, canned;100;60;0.2;1.41;13.61;0;Potatoes; canned; drained solids;Potatoes drained solids
1693;T.G.I. FRIDAY'S, chicken fingers;100;325;20;18.68;16.84;0.23;T.G.I. FRIDAY'S;; chicken fingers;T.G.I. FRIDAY'S chicken fingers
1694;Babyfood, apple and peach, juice;100;43;0.1;0.20;10.50;9.59;Babyfood; juice; apple and peach;Babyfood apple and peach
1695;Seeds, roasted, breadfruit seeds;100;207;2.7;6.20;40.10;0;Seeds; breadfruit seeds; roasted;Seeds roasted
1696;Potato puffs, unprepared, frozen;100;178;8.7;1.93;24.80;0.28;Potato puffs; frozen; unprepared;Potato puffs unprepared
1697;Pie, prepared from recipe, pecan;100;412;22;4.90;52.20;0;Pie; pecan; prepared from recipe;Pie prepared from recipe
1698;Pie, prepared from recipe, mince;100;289;11;2.60;48.00;28.31;Pie; mince; prepared from recipe;Pie prepared from recipe
1699;Nuts, dried, japanese, chestnuts;100;360;1.2;5.25;81.43;0;Nuts; japanese, chestnuts; dried;Nuts dried
1700;McDONALD'S, Hotcakes and Sausage;100;294;13;7.81;37.55;7.29;McDONALD'S;; Hotcakes and Sausage;McDONALD'S Hotcakes and Sausage
1701;KELLOGG'S, Original, SIMPLY EGGO;100;294;11;6.20;43.30;5.90;KELLOGG'S; SIMPLY EGGO; Original;KELLOGG'S Original
1702;Pie, prepared from recipe, apple;100;265;13;2.40;37.10;0;Pie; apple; prepared from recipe;Pie prepared from recipe
1703;Beverages, root beer, carbonated;100;41;0;0.00;10.60;10.60;Beverages; carbonated; root beer;Beverages root beer
1704;Emu, pan-broiled, cooked, ground;100;163;4.7;28.43;0.00;0.00;Emu; cooked, ground; pan-broiled;Emu pan-broiled
1705;Cheese, queso chihuahua, mexican;100;374;30;21.56;5.56;5.56;Cheese; mexican; queso chihuahua;Cheese queso chihuahua
1706;KEEBLER, Original Crackers, CLUB;100;486;22;5.50;66.20;8.90;KEEBLER; CLUB; Original Crackers;KEEBLER Original Crackers
1707;Pears, uncooked, sulfured, dried;100;262;0.6;1.87;69.70;62.20;Pears; sulfured, dried; uncooked;Pears uncooked
1708;Soup, home-prepared, beef, stock;100;13;0.1;1.97;1.20;0.54;Soup; beef, stock; home-prepared;Soup home-prepared
1709;Soup, home-prepared, fish, stock;100;16;0.8;2.26;0.00;0.00;Soup; fish, stock; home-prepared;Soup home-prepared
1710;Fish, raw, skipjack, fresh, tuna;100;103;1;22.00;0.00;0;Fish; skipjack, fresh, tuna; raw;Fish raw
1711;Noodles, cooked, somen, japanese;100;131;0.2;4.00;27.54;0;Noodles; somen, japanese; cooked;Noodles cooked
1712;Cheesecake commercially prepared;100;321;23;5.50;25.50;21.80;Cheesecake commercially prepared;;;Cheesecake commercially prepared
1713;Crackers, GAMESA SABROSAS, cream;100;484;20;7.01;64.55;9.37;Crackers; cream; GAMESA SABROSAS;Crackers GAMESA SABROSAS
1714;Fish, raw, pumpkin seed, sunfish;100;89;0.7;19.40;0.00;0;Fish; pumpkin seed, sunfish; raw;Fish raw
1715;Sauce, original, KRAFT, barbecue;100;172;0.6;0.74;40.77;32.26;Sauce; KRAFT, barbecue; original;Sauce original
1716;Snacks, rice-based, oriental mix;100;506;26;17.31;51.62;3.00;Snacks; oriental mix; rice-based;Snacks rice-based
1717;Chicken, raw, all classes, liver;100;119;4.8;16.92;0.73;0.00;Chicken; all classes, liver; raw;Chicken raw
1718;Chicken, raw, all classes, heart;100;153;9.3;15.55;0.71;0;Chicken; all classes, heart; raw;Chicken raw
1719;Vegetable juice cocktail, canned;100;22;0.3;0.93;3.87;2.84;Vegetable juice cocktail;; canned;Vegetable juice cocktail canned
1720;Coriander (cilantro) leaves, raw;100;23;0.5;2.13;3.67;0.87;Coriander (cilantro) leaves;; raw;Coriander (cilantro) leaves raw
1721;Snacks, almond, crisped rice bar;100;458;20;7.00;64.60;0;Snacks; crisped rice bar; almond;Snacks almond
1722;Blueberries, unsweetened, frozen;100;51;0.6;0.42;12.17;8.45;Blueberries; frozen; unsweetened;Blueberries unsweetened
1723;Bread, oat bran, reduced-calorie;100;201;3.2;8.00;41.30;3.52;Bread; reduced-calorie; oat bran;Bread oat bran
1724;Bread, toasted, enriched, raisin;100;297;4.8;8.60;56.90;6.18;Bread; enriched, raisin; toasted;Bread toasted
1725;Bread, protein (includes gluten);100;245;2.2;12.10;43.80;1.44;Bread;; protein (includes gluten);Bread protein (includes gluten)
1726;Beverages, municipal, tap, water;100;0;0;0.00;0.00;0.00;Beverages; tap, water; municipal;Beverages municipal
1727;Game meat, roasted, cooked, goat;100;143;3;27.10;0.00;0.00;Game meat; cooked, goat; roasted;Game meat roasted
1728;Muffins, prepared, dry mix, corn;100;321;10;7.40;49.10;0;Muffins; dry mix, corn; prepared;Muffins prepared
1729;Chicken, raw, meat only, stewing;100;148;6.3;21.26;0.00;0.00;Chicken; meat only, stewing; raw;Chicken raw
1730;Fish, dry heat, cooked, bluefish;100;159;5.4;25.69;0.00;0;Fish; cooked, bluefish; dry heat;Fish dry heat
1731;Bagels, toasted, cinnamon-raisin;100;294;1.8;10.60;59.30;6.43;Bagels; cinnamon-raisin; toasted;Bagels toasted
1732;Sweet potato, unprepared, frozen;100;96;0.2;1.71;22.22;0;Sweet potato; frozen; unprepared;Sweet potato unprepared
1733;Mashu roots, raw (Alaska Native);100;135;2.4;5.80;22.60;0;Mashu roots;; raw (Alaska Native);Mashu roots raw (Alaska Native)
1734;CAMPBELL'S, Organic Tomato juice;100;21;0;0.82;4.12;2.88;CAMPBELL'S;; Organic Tomato juice;CAMPBELL'S Organic Tomato juice
1735;Bratwurst, smoked, beef and pork;100;297;26;12.20;2.00;0.00;Bratwurst; beef and pork; smoked;Bratwurst smoked
1736;Sausage, smoked, turkey, Italian;100;158;8.8;15.05;4.65;3.20;Sausage; turkey, Italian; smoked;Sausage smoked
1737;Beverages, Citrus,  Energy drink;100;45;0;0.00;11.27;10.42;Beverages;  Energy drink; Citrus;Beverages Citrus
