index;name;serving_size;calories;total_fat;protein;carbohydrate;sugars;food_item;food_detail;detail1;food_key
6328;Cereals ready-to-eat, Cap'n Crunch's OOPS! All Berries Cereal, QUAKER;100;395;4;4.60;87.10;44.18;Cereals ready-to-eat; QUAKER; Cap'n Crunch's OOPS! All Berries Cereal;Cereals ready-to-eat Cap'n Crunch's OOPS! All Berries Cereal
6329;Pork, roasted, heated, separable lean only, bone-in, rump, ham, cured;100;132;3.1;26.02;0.68;0.68;Pork; heated, separable lean only, bone-in, rump, ham, cured; roasted;Pork roasted
6330;Hyacinth-beans, without salt, drained, boiled, cooked, immature seeds;100;50;0.3;2.95;9.20;0;Hyacinth-beans; drained, boiled, cooked, immature seeds; without salt;Hyacinth-beans without salt
6331;Babyfood, strained, without ascorbic acid, prunes with tapioca, fruit;100;69;0.1;0.60;18.50;10.97;Babyfood; without ascorbic acid, prunes with tapioca, fruit; strained;Babyfood strained
6332;Cowpeas, without salt, drained, boiled, cooked, young pods with seeds;100;34;0.3;2.60;7.00;0;Cowpeas; drained, boiled, cooked, young pods with seeds; without salt;Cowpeas without salt
6333;CAMPBELL'S CHUNKY Soups, Grilled Chicken with Vegetables & Pasta Soup;100;41;1;2.45;5.71;0.82;CAMPBELL'S CHUNKY Soups;; Grilled Chicken with Vegetables & Pasta Soup;CAMPBELL'S CHUNKY Soups Grilled Chicken with Vegetables & Pasta Soup
6334;Beverages, decaffeinated, prepared with tap water, brewed, black, tea;100;1;0;0.00;0.30;0.00;Beverages; prepared with tap water, brewed, black, tea; decaffeinated;Beverages decaffeinated
6335;SUPPER BAKES MEAL KITS, Herb Chicken with rice (chicken not included);100;197;1.1;4.26;42.55;2.13;SUPPER BAKES MEAL KITS;; Herb Chicken with rice (chicken not included);SUPPER BAKES MEAL KITS Herb Chicken with rice (chicken not included)
6336;Potatoes, pan-fried in canola oil, prepared, refrigerated, hash brown;100;242;10;3.24;33.99;1.16;Potatoes; prepared, refrigerated, hash brown; pan-fried in canola oil;Potatoes pan-fried in canola oil
6337;Chicken, stewed, cooked, meat and skin, dark meat, broilers or fryers;100;233;15;23.50;0.00;0;Chicken; cooked, meat and skin, dark meat, broilers or fryers; stewed;Chicken stewed
6338;Apricots, solids and liquids, without skin, heavy syrup pack, canned;100;83;0.1;0.51;21.45;0;Apricots; without skin, heavy syrup pack, canned; solids and liquids;Apricots solids and liquids
6339;Veal, braised, cooked, separable lean and fat, shank (fore and hind);100;191;6.2;31.54;0.00;0;Veal; cooked, separable lean and fat, shank (fore and hind); braised;Veal braised
6340;Balsam-pear (bitter gourd), with salt, drained, boiled, cooked, pods;100;19;0.2;0.84;4.32;1.95;Balsam-pear (bitter gourd); drained, boiled, cooked, pods; with salt;Balsam-pear (bitter gourd) with salt
6341;Snacks, Harvest Cheddar flavor, Multigrain Snack, SUNCHIPS, FRITOLAY;100;491;22;8.08;64.70;7.05;Snacks; Multigrain Snack, SUNCHIPS, FRITOLAY; Harvest Cheddar flavor;Snacks Harvest Cheddar flavor
6342;Lamb, raw, separable lean and fat, fore-shank, imported, New Zealand;100;183;11;20.09;0.09;0.00;Lamb; separable lean and fat, fore-shank, imported, New Zealand; raw;Lamb raw
6343;Beef, pan-browned, cooked, crumbles, 90% lean meat / 10% fat, ground;100;230;12;28.45;0.00;0.00;Beef; cooked, crumbles, 90% lean meat / 10% fat, ground; pan-browned;Beef pan-browned
6344;Wheat flour, enriched, unbleached, 11.5% protein, white (industrial);100;363;1.5;11.50;73.81;1.12;Wheat flour; unbleached, 11.5% protein, white (industrial); enriched;Wheat flour enriched
6345;CAMPBELL'S HEALTHY REQUEST, condensed, Homestyle Chicken Noodle Soup;100;51;1;2.70;7.80;0.60;CAMPBELL'S HEALTHY REQUEST; Homestyle Chicken Noodle Soup; condensed;CAMPBELL'S HEALTHY REQUEST condensed
6346;Infant formula, powder, with iron, GOOD START ESSENTIALS SOY, NESTLE;100;502;26;12.50;55.70;44.38;Infant formula; with iron, GOOD START ESSENTIALS SOY, NESTLE; powder;Infant formula powder
6347;Lima beans, solids and liquids, regular pack, canned, immature seeds;100;71;0.3;4.07;13.33;0;Lima beans; regular pack, canned, immature seeds; solids and liquids;Lima beans solids and liquids
6348;Cereals ready-to-eat, OAT BLENDERS with honey & almonds, MALT-O-MEAL;100;379;4.9;7.80;77.26;20.26;Cereals ready-to-eat; MALT-O-MEAL; OAT BLENDERS with honey & almonds;Cereals ready-to-eat OAT BLENDERS with honey & almonds
6349;Lamb, raw, separable lean and fat, tenderloin, imported, New Zealand;100;120;4.2;20.43;0.01;0.00;Lamb; separable lean and fat, tenderloin, imported, New Zealand; raw;Lamb raw
6350;Grapes, raw, red or green (European type, such as Thompson seedless);100;69;0.2;0.72;18.10;15.48;Grapes; red or green (European type, such as Thompson seedless); raw;Grapes raw
6351;Babyfood, toddler fortified, instant, dry, oatmeal cereal with fruit;100;402;7.1;10.50;74.10;11.09;Babyfood; instant, dry, oatmeal cereal with fruit; toddler fortified;Babyfood toddler fortified
6352;Chicken, roasted, cooked, meat and skin and giblets and neck, capons;100;226;12;28.35;0.04;0;Chicken; cooked, meat and skin and giblets and neck, capons; roasted;Chicken roasted
6353;Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native);100;353;32;3.40;13.40;0;Agutuk;; fish/berry with seal oil (Alaskan ice cream) (Alaska Native);Agutuk fish/berry with seal oil (Alaskan ice cream) (Alaska Native)
